id;out_side_id;name;time;data;project_id;channel_count;plus_interval;upload_interval;hz;device_no
1;initiative bandwidth Chicken;Frozen;66076;open-source Investment Cotton;convergence;12959;75701;12794;67639;integrate Guam
2;data-warehouse;Kwacha Dollar SCSI;57302;Minnesota Intelligent;Vietnam Gloves Group;82862;25692;27211;52222;Ouguiya Robust
3;Communications;withdrawal;28069;Row SAS directional;killer;87258;93804;3973;14186;syndicate
4;Franc;leverage Brazil;8649;Rubber Cambridgeshire tan;Won;14036;73253;58816;73230;recontextualize
5;fault-tolerant connect Wisconsin;Bedfordshire Glen optical;47761;synergistic Compatible;Grocery RSS;74689;49447;21906;11364;bypass
6;adapter withdrawal interface;Hampshire;38544;Shoes Tokelau;Applications;78759;88247;54181;51626;reboot Senior
7;Fundamental Kansas Intranet;Avon;91340;Internal program;lime wireless Infrastructure;747;82582;38538;31206;wireless Loan olive
8;deposit card Hills;Soft;21087;South;Franc;92065;12999;14681;69229;Incredible generating
9;Gloves quantifying;Interactions Identity;57325;Persevering 24/7 Dobra;Dynamic Bedfordshire;59847;10732;87644;66623;Liaison Kids
10;Lead quantify Pennsylvania;withdrawal state;20324;Tasty Computers programming;bus Avon;77074;87895;84664;17830;orchid monetize bluetooth
