id;device_no;code;four_g;term;battery;bat_mode;cur_version;work_mode
1;ADP;16747;94254;48788;95591;95028;Dynamic payment;4646
2;Frozen Steel Jewelery;43535;56659;76052;99499;4875;withdrawal;55397
3;models transmit productize;23094;95094;302;92830;28317;Kiribati Licensed;57196
4;Colon open-source;46282;49956;74194;35063;36520;navigate program;98216
5;up Producer Ergonomic;97633;29927;48129;93741;60581;reboot Innovative;97046
6;Guinea-Bissau;41380;6483;96128;72717;9653;Avon;71610
7;Programmable;97580;26989;30113;49030;7958;system;69515
8;Account;64001;25118;43614;32356;21208;Kuwaiti Borders Springs;73508
9;firewall Washington;37362;7070;58188;23936;15338;orange Unions cross-platform;10540
10;Solutions Handcrafted Security;41487;21682;90585;78307;45336;Account Computer Checking;41765
